temperature_K,total_conversion
400.0000,0.00000000
400.2501,0.00000000
400.5003,0.00123749
400.7504,0.00000000
401.0005,0.00021434
401.2506,0.00000000
401.5008,0.00000000
401.7509,0.00003538
402.0010,0.00023597
402.2511,0.00000000
402.5013,0.00176266
402.7514,0.00000000
403.0015,0.00457591
403.2516,0.00305739
403.5018,0.00000000
403.7519,0.00010678
404.0020,0.00000000
404.2521,0.00000000
404.5023,0.00000000
404.7524,0.00000000
405.0025,0.00225846
405.2526,0.00126610
405.5028,0.00000000
405.7529,0.00084592
406.0030,0.00000000
406.2531,0.00029479
406.5033,0.00006371
406.7534,0.00000000
407.0035,0.00000000
407.2536,0.00164289
407.5038,0.00000000
407.7539,0.00365708
408.0040,0.00000000
408.2541,0.00000000
408.5043,0.00272975
408.7544,0.00205355
409.0045,0.00000000
409.2546,0.00252354
409.5048,0.00038633
409.7549,0.00612519
410.0050,0.00000000
410.2551,0.00601711
410.5053,0.00000000
410.7554,0.00000000
411.0055,0.00000000
411.2556,0.00000000
411.5058,0.00396436
411.7559,0.00037446
412.0060,0.00148641
412.2561,0.00000000
412.5063,0.00226492
412.7564,0.00000000
413.0065,0.00000000
413.2566,0.00000000
413.5068,0.00016720
413.7569,0.00000000
414.0070,0.00000000
414.2571,0.00272044
414.5073,0.00000000
414.7574,0.00000000
415.0075,0.00201684
415.2576,0.00100839
415.5078,0.00000000
415.7579,0.00133470
416.0080,0.00065949
416.2581,0.00056522
416.5083,0.00339033
416.7584,0.00285673
417.0085,0.00081838
417.2586,0.00000000
417.5088,0.00017257
417.7589,0.00000000
418.0090,0.00000000
418.2591,0.00000000
418.5093,0.00000000
418.7594,0.00122266
419.0095,0.00350324
419.2596,0.00000000
419.5098,0.00252831
419.7599,0.00018148
420.0100,0.00185063
420.2601,0.00032593
420.5103,0.00027963
420.7604,0.00141006
421.0105,0.00000000
421.2606,0.00000000
421.5108,0.00297554
421.7609,0.00111620
422.0110,0.00000000
422.2611,0.00000000
422.5113,0.00000000
422.7614,0.00250107
423.0115,0.00000000
423.2616,0.00135603
423.5118,0.00352573
423.7619,0.00270492
424.0120,0.00000000
424.2621,0.00120990
424.5123,0.00000000
424.7624,0.00030261
425.0125,0.00000000
425.2626,0.00000000
425.5128,0.00000000
425.7629,0.00000000
426.0130,0.00000000
426.2631,0.00060662
426.5133,0.00024212
426.7634,0.00026384
427.0135,0.00099255
427.2636,0.00000000
427.5138,0.00000000
427.7639,0.00155088
428.0140,0.00041471
428.2641,0.00000000
428.5143,0.00112493
