temperature_K,total_conversion
400.0000,0.00000000
400.2501,0.00000000
400.5003,0.00000000
400.7504,0.00072820
401.0005,0.00000000
401.2506,0.00078123
401.5008,0.00090213
401.7509,0.00000000
402.0010,0.00000000
402.2511,0.00059263
402.5013,0.00000000
402.7514,0.00000000
403.0015,0.00083511
403.2516,0.00000000
403.5018,0.00000000
403.7519,0.00000000
404.0020,0.00235519
404.2521,0.00174735
404.5023,0.00000000
404.7524,0.00000000
405.0025,0.00000000
405.2526,0.00268234
405.5028,0.00000000
405.7529,0.00000000
406.0030,0.00212765
406.2531,0.00000000
406.5033,0.00035518
406.7534,0.00099950
407.0035,0.00431231
407.2536,0.00145485
407.5038,0.00004610
407.7539,0.00000000
408.0040,0.00273144
408.2541,0.00466499
408.5043,0.00000000
408.7544,0.00246937
409.0045,0.00000000
409.2546,0.00000000
409.5048,0.00027234
409.7549,0.00226815
410.0050,0.00062411
410.2551,0.00007582
410.5053,0.00381378
410.7554,0.00091523
411.0055,0.00235279
411.2556,0.00093290
411.5058,0.00119340
411.7559,0.00380239
412.0060,0.00060741
412.2561,0.00000000
412.5063,0.00000000
412.7564,0.00000000
413.0065,0.00000000
413.2566,0.00000000
413.5068,0.00000000
413.7569,0.00000000
414.0070,0.00000000
414.2571,0.00000000
414.5073,0.00000000
414.7574,0.00010641
415.0075,0.00000000
415.2576,0.00192682
415.5078,0.00284361
415.7579,0.00029196
416.0080,0.00000000
416.2581,0.00175880
416.5083,0.00000000
416.7584,0.00044148
417.0085,0.00068385
417.2586,0.00000000
417.5088,0.00073203
417.7589,0.00117382
418.0090,0.00322251
418.2591,0.00128187
418.5093,0.00331770
418.7594,0.00337685
419.0095,0.00039403
419.2596,0.00039040
419.5098,0.00000000
419.7599,0.00013744
420.0100,0.00000000
420.2601,0.00000000
420.5103,0.00066449
420.7604,0.00020363
421.0105,0.00000000
421.2606,0.00000000
421.5108,0.00000000
421.7609,0.00000000
422.0110,0.00023843
422.2611,0.00494172
422.5113,0.00192832
422.7614,0.00000000
423.0115,0.00000000
423.2616,0.00125485
423.5118,0.00140502
423.7619,0.00209555
424.0120,0.00096812
424.2621,0.00392001
424.5123,0.00022210
424.7624,0.00000000
425.0125,0.00000000
425.2626,0.00197146
425.5128,0.00000000
425.7629,0.00000000
426.0130,0.00000000
426.2631,0.00000000
426.5133,0.00233482
426.7634,0.00000000
427.0135,0.00000000
427.2636,0.00000000
427.5138,0.00198427
427.7639,0.00355398
428.0140,0.00000000
428.2641,0.00000000
428.5143,0.00000000
