temperature_K,total_conversion
400.0000,0.00111860
400.2501,0.00258293
400.5003,0.00454723
400.7504,0.00136583
401.0005,0.00000000
401.2506,0.00125463
401.5008,0.00000000
401.7509,0.00142129
402.0010,0.00208654
402.2511,0.00442705
402.5013,0.00000000
402.7514,0.00000000
403.0015,0.00000000
403.2516,0.00035215
403.5018,0.00167469
403.7519,0.00044849
404.0020,0.00000000
404.2521,0.00300249
404.5023,0.00000000
404.7524,0.00349100
405.0025,0.00000000
405.2526,0.00055720
405.5028,0.00255666
405.7529,0.00000000
406.0030,0.00000000
406.2531,0.00167284
406.5033,0.00000000
406.7534,0.00456193
407.0035,0.00000000
407.2536,0.00000000
407.5038,0.00039964
407.7539,0.00000000
408.0040,0.00000000
408.2541,0.00236384
408.5043,0.00064275
408.7544,0.00176687
409.0045,0.00000000
409.2546,0.00000000
409.5048,0.00152147
409.7549,0.00000000
410.0050,0.00000000
410.2551,0.00215230
410.5053,0.00164404
410.7554,0.00000000
411.0055,0.00000000
411.2556,0.00000000
411.5058,0.00000000
411.7559,0.00045571
412.0060,0.00105047
412.2561,0.00078202
412.5063,0.00027881
412.7564,0.00291278
413.0065,0.00145199
413.2566,0.00000000
413.5068,0.00000000
413.7569,0.00000000
414.0070,0.00000000
414.2571,0.00082594
414.5073,0.00000000
414.7574,0.00411734
415.0075,0.00109238
415.2576,0.00000000
415.5078,0.00125119
415.7579,0.00032525
416.0080,0.00238066
416.2581,0.00000000
416.5083,0.00061558
416.7584,0.00000000
417.0085,0.00048144
417.2586,0.00000000
417.5088,0.00000000
417.7589,0.00166416
418.0090,0.00050775
418.2591,0.00192462
418.5093,0.00000000
418.7594,0.00000000
419.0095,0.00000000
419.2596,0.00046794
419.5098,0.00000000
419.7599,0.00000000
420.0100,0.00132391
420.2601,0.00000000
420.5103,0.00096548
420.7604,0.00129598
421.0105,0.00124508
421.2606,0.00000000
421.5108,0.00006696
421.7609,0.00270111
422.0110,0.00105807
422.2611,0.00038516
422.5113,0.00465477
422.7614,0.00000000
423.0115,0.00000000
423.2616,0.00082621
423.5118,0.00000000
423.7619,0.00000000
424.0120,0.00000000
424.2621,0.00000000
424.5123,0.00400936
424.7624,0.00161970
425.0125,0.00147251
425.2626,0.00031008
425.5128,0.00069743
425.7629,0.00000000
426.0130,0.00000000
426.2631,0.00000000
426.5133,0.00000000
426.7634,0.00000000
427.0135,0.00292992
427.2636,0.00067128
427.5138,0.00217124
427.7639,0.00071869
428.0140,0.00000000
428.2641,0.00267173
428.5143,0.00047593
428.7644,0.00000000
429.0145,0.00295817
429.2646,0.00282326
429.5148,0.00015068
429.7649,0.00000000
430.0150,0.00064107
430.2651,0.00000000
430.5153,0.00069828
430.7654,0.00204395
431.0155,0.00107428
431.2656,0.00172016
431.5158,0.00006042
431.7659,0.00000000
432.0160,0.00000000
432.2661,0.00162627
432.5163,0.00000000
432.7664,0.00325656
433.0165,0.00066354
433.2666,0.00054319
433.5168,0.00170572
433.7669,0.00151082
434.0170,0.00163363
434.2671,0.00000000
434.5173,0.00219503
434.7674,0.00000000
435.0175,0.00000000
435.2676,0.00394874
435.5178,0.00000000
435.7679,0.00000000
436.0180,0.00000000
436.2681,0.00212736
436.5183,0.00000000
436.7684,0.00000000
437.0185,0.00000000
437.2686,0.00000000
437.5188,0.00012381
437.7689,0.00142776
438.0190,0.00037387
438.2691,0.00000000
438.5193,0.00157500
438.7694,0.00000000
439.0195,0.00229336
439.2696,0.00348051
439.5198,0.00000000
439.7699,0.00101040
440.0200,0.00000000
440.2701,0.00000000
440.5203,0.00097056
440.7704,0.00000000
441.0205,0.00000000
441.2706,0.00110896
441.5208,0.00000000
441.7709,0.00000000
442.0210,0.00000000
442.2711,0.00000000
442.5213,0.00000000
442.7714,0.00061006
443.0215,0.00000000
443.2716,0.00000000
443.5218,0.00000000
443.7719,0.00089097
444.0220,0.00000000
444.2721,0.00000000
444.5223,0.00000000
444.7724,0.00176974
445.0225,0.00308618
445.2726,0.00061271
445.5228,0.00000814
445.7729,0.00000000
446.0230,0.00052549
446.2731,0.00333522
446.5233,0.00000000
446.7734,0.00180743
447.0235,0.00000000
447.2736,0.00000000
447.5238,0.00136840
447.7739,0.00000000
448.0240,0.00029617
448.2741,0.00000000
448.5243,0.00181463
448.7744,0.00415805
449.0245,0.00073604
449.2746,0.00000000
