temperature_K,total_conversion
400.0000,0.00043263
400.2501,0.00000000
400.5003,0.00277428
400.7504,0.00008804
401.0005,0.00000000
401.2506,0.00124275
401.5008,0.00068821
401.7509,0.00027893
402.0010,0.00000000
402.2511,0.00316742
402.5013,0.00000000
402.7514,0.00000000
403.0015,0.00114568
403.2516,0.00000000
403.5018,0.00000000
403.7519,0.00081254
404.0020,0.00000000
404.2521,0.00233772
404.5023,0.00000000
404.7524,0.00000000
405.0025,0.00301859
405.2526,0.00000000
405.5028,0.00000000
405.7529,0.00392420
406.0030,0.00282782
406.2531,0.00000000
406.5033,0.00039012
406.7534,0.00184021
407.0035,0.00000000
407.2536,0.00607446
407.5038,0.00100674
407.7539,0.00000000
408.0040,0.00025848
408.2541,0.00000000
408.5043,0.00207804
408.7544,0.00329109
409.0045,0.00129737
409.2546,0.00054791
409.5048,0.00000000
409.7549,0.00000000
410.0050,0.00000000
410.2551,0.00204855
410.5053,0.00103646
410.7554,0.00000000
411.0055,0.00178992
411.2556,0.00000000
411.5058,0.00000000
411.7559,0.00000000
412.0060,0.00124032
412.2561,0.00082277
412.5063,0.00000000
412.7564,0.00154669
413.0065,0.00226530
413.2566,0.00245771
413.5068,0.00013379
413.7569,0.00000000
414.0070,0.00039198
414.2571,0.00000000
414.5073,0.00000000
414.7574,0.00000000
415.0075,0.00000000
415.2576,0.00000000
415.5078,0.00000000
415.7579,0.00000000
416.0080,0.00000000
416.2581,0.00000000
416.5083,0.00390206
416.7584,0.00074628
417.0085,0.00100143
417.2586,0.00000000
417.5088,0.00000000
417.7589,0.00280522
418.0090,0.00000000
418.2591,0.00229849
418.5093,0.00000000
418.7594,0.00142638
419.0095,0.00000000
419.2596,0.00000000
419.5098,0.00000000
419.7599,0.00362415
420.0100,0.00214009
420.2601,0.00000000
420.5103,0.00492476
420.7604,0.00000000
421.0105,0.00097918
421.2606,0.00000000
421.5108,0.00298979
421.7609,0.00000000
422.0110,0.00113112
422.2611,0.00000000
422.5113,0.00274588
422.7614,0.00252981
423.0115,0.00000000
423.2616,0.00195744
423.5118,0.00000000
423.7619,0.00032207
424.0120,0.00063757
424.2621,0.00000000
424.5123,0.00000000
424.7624,0.00000000
425.0125,0.00578697
425.2626,0.00343900
425.5128,0.00333706
425.7629,0.00020180
426.0130,0.00033954
426.2631,0.00218956
426.5133,0.00000000
426.7634,0.00000000
427.0135,0.00000000
427.2636,0.00000000
427.5138,0.00160973
427.7639,0.00370268
428.0140,0.00000000
428.2641,0.00175791
428.5143,0.00000000
428.7644,0.00085455
429.0145,0.00041636
429.2646,0.00231614
429.5148,0.00000000
429.7649,0.00000000
430.0150,0.00000000
430.2651,0.00000000
430.5153,0.00000000
430.7654,0.00000000
431.0155,0.00001035
431.2656,0.00000000
431.5158,0.00000000
431.7659,0.00156722
432.0160,0.00282767
432.2661,0.00000000
432.5163,0.00115756
432.7664,0.00196791
433.0165,0.00000000
433.2666,0.00000000
433.5168,0.00034554
433.7669,0.00000000
434.0170,0.00197497
434.2671,0.00056330
434.5173,0.00000000
434.7674,0.00000000
435.0175,0.00167682
435.2676,0.00118506
435.5178,0.00279292
435.7679,0.00000000
436.0180,0.00255432
436.2681,0.00000000
436.5183,0.00000000
436.7684,0.00030194
437.0185,0.00040790
437.2686,0.00167261
437.5188,0.00000000
437.7689,0.00135181
438.0190,0.00085807
438.2691,0.00090452
438.5193,0.00115009
438.7694,0.00000000
439.0195,0.00540543
439.2696,0.00000000
439.5198,0.00000000
439.7699,0.00082885
440.0200,0.00000000
440.2701,0.00000000
440.5203,0.00089910
440.7704,0.00000000
441.0205,0.00000000
441.2706,0.00229580
441.5208,0.00000000
441.7709,0.00043558
442.0210,0.00106391
442.2711,0.00000000
442.5213,0.00000000
442.7714,0.00279769
443.0215,0.00000000
443.2716,0.00000000
443.5218,0.00000000
443.7719,0.00231977
444.0220,0.00100748
444.2721,0.00335551
444.5223,0.00033649
444.7724,0.00000000
445.0225,0.00000000
445.2726,0.00319633
445.5228,0.00209524
445.7729,0.00000000
446.0230,0.00000000
446.2731,0.00223972
446.5233,0.00000000
446.7734,0.00133075
447.0235,0.00000000
447.2736,0.00000000
447.5238,0.00546530
447.7739,0.00000000
448.0240,0.00196211
448.2741,0.00049456
448.5243,0.00060764
448.7744,0.00000000
449.0245,0.00136290
449.2746,0.00199118
449.5248,0.00304743
449.7749,0.00109884
450.0250,0.00072639
450.2751,0.00117253
450.5253,0.00000000
450.7754,0.00000000
451.0255,0.00224604
451.2756,0.00291860
451.5258,0.00303448
451.7759,0.00132926
452.0260,0.00334806
452.2761,0.00268834
452.5263,0.00230129
452.7764,0.00415847
453.0265,0.00124436
453.2766,0.00213107
453.5268,0.00338333
453.7769,0.00000000
454.0270,0.00210115
454.2771,0.00227709
454.5273,0.00128880
454.7774,0.00262485
455.0275,0.00051504
455.2776,0.00105310
455.5278,0.00616042
455.7779,0.00226574
456.0280,0.00000000
456.2781,0.00412657
456.5283,0.00366339
456.7784,0.00008462
457.0285,0.00332559
457.2786,0.00089868
457.5288,0.00272052
457.7789,0.00253519
458.0290,0.00233439
458.2791,0.00424532
458.5293,0.00017654
458.7794,0.00345899
459.0295,0.00184774
459.2796,0.00310176
459.5298,0.00489249
459.7799,0.00323677
460.0300,0.00591663
460.2801,0.00461347
