PREC,PETINP
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,4.1179982000e-04
0.0000000000e+00,1.8689601000e-03
0.0000000000e+00,3.1202205000e-03
0.0000000000e+00,3.1202205000e-03
0.0000000000e+00,3.1202205000e-03
0.0000000000e+00,3.1202205000e-03
0.0000000000e+00,3.1202205000e-03
0.0000000000e+00,1.8689601000e-03
0.0000000000e+00,4.1179982000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,4.3739582000e-04
0.0000000000e+00,1.9456330000e-03
0.0000000000e+00,3.2351722000e-03
0.0000000000e+00,3.2351722000e-03
0.0000000000e+00,3.2351722000e-03
0.0000000000e+00,3.2351722000e-03
0.0000000000e+00,3.2351722000e-03
0.0000000000e+00,1.9456330000e-03
0.0000000000e+00,4.3739582000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,4.9312349000e-04
0.0000000000e+00,2.1479344000e-03
0.0000000000e+00,3.5561835000e-03
0.0000000000e+00,3.5561835000e-03
0.0000000000e+00,3.5561835000e-03
0.0000000000e+00,3.5561835000e-03
0.0000000000e+00,3.5561835000e-03
0.0000000000e+00,2.1479344000e-03
0.0000000000e+00,4.9312349000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,4.9625518000e-04
0.0000000000e+00,2.1150133000e-03
0.0000000000e+00,3.4856438000e-03
0.0000000000e+00,3.4856438000e-03
0.0000000000e+00,3.4856438000e-03
0.0000000000e+00,3.4856438000e-03
0.0000000000e+00,3.4856438000e-03
0.0000000000e+00,2.1150133000e-03
9.9999802000e-03,4.9625518000e-04
2.9999940000e-02,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
2.9999940000e-02,0.0000000000e+00
2.9999940000e-02,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
7.9999842000e-02,5.8421458000e-04
3.9999921000e-02,2.4346784000e-03
0.0000000000e+00,3.9930348000e-03
2.9999940000e-02,3.9930348000e-03
9.9999802000e-03,3.9930348000e-03
0.0000000000e+00,3.9930348000e-03
0.0000000000e+00,3.9930348000e-03
0.0000000000e+00,2.4346784000e-03
0.0000000000e+00,5.8421458000e-04
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
5.9999879000e-02,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,5.4977124000e-04
0.0000000000e+00,2.2391505000e-03
0.0000000000e+00,3.6536439000e-03
9.9999802000e-03,3.6536439000e-03
0.0000000000e+00,3.6536439000e-03
0.0000000000e+00,3.6536439000e-03
0.0000000000e+00,3.6536439000e-03
0.0000000000e+00,2.2391505000e-03
0.0000000000e+00,5.4977124000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,5.3920748000e-04
0.0000000000e+00,2.1454052000e-03
1.9999960000e-02,3.4819990000e-03
9.9999802000e-03,3.4819990000e-03
9.9999802000e-03,3.4819990000e-03
0.0000000000e+00,3.4819990000e-03
0.0000000000e+00,3.4819990000e-03
9.9999802000e-03,2.1454052000e-03
2.9999940000e-02,5.3920748000e-04
9.9999802000e-03,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,5.5317639000e-04
0.0000000000e+00,2.1494906000e-03
0.0000000000e+00,3.4692169000e-03
0.0000000000e+00,3.4692169000e-03
0.0000000000e+00,3.4692169000e-03
0.0000000000e+00,3.4692169000e-03
0.0000000000e+00,3.4692169000e-03
0.0000000000e+00,2.1494906000e-03
0.0000000000e+00,5.5317639000e-04
1.9999960000e-02,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
3.9999921000e-02,0.0000000000e+00
7.9999842000e-02,0.0000000000e+00
6.9999859000e-02,0.0000000000e+00
9.9999800000e-02,0.0000000000e+00
6.9999859000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
6.9999859000e-02,0.0000000000e+00
3.9999921000e-02,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
3.9999921000e-02,5.9668976000e-04
9.9999802000e-03,2.2638519000e-03
9.9999802000e-03,3.6326693000e-03
9.9999802000e-03,3.6326693000e-03
0.0000000000e+00,3.6326693000e-03
0.0000000000e+00,3.6326693000e-03
0.0000000000e+00,3.6326693000e-03
0.0000000000e+00,2.2638519000e-03
0.0000000000e+00,5.9668976000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,5.4834702000e-04
0.0000000000e+00,2.0310974000e-03
0.0000000000e+00,3.2396743000e-03
0.0000000000e+00,3.2396743000e-03
0.0000000000e+00,3.2396743000e-03
0.0000000000e+00,3.2396743000e-03
0.0000000000e+00,3.2396743000e-03
0.0000000000e+00,2.0310974000e-03
0.0000000000e+00,5.4834702000e-04
9.9999802000e-03,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
3.9999921000e-02,0.0000000000e+00
7.9999842000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
3.9999921000e-02,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
7.9999842000e-02,6.7703659000e-04
1.9999960000e-02,2.4482016000e-03
1.9999960000e-02,3.8808482000e-03
7.9999842000e-02,3.8808482000e-03
2.9999940000e-02,3.8808482000e-03
0.0000000000e+00,3.8808482000e-03
2.9999940000e-02,3.8808482000e-03
1.3999970000e-01,2.4482016000e-03
9.9999802000e-03,6.7703659000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
2.9999940000e-02,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
9.9999802000e-03,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
5.9999879000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
1.9999960000e-02,0.0000000000e+00
1.9999960000e-02,7.5880537000e-04
0.0000000000e+00,2.6788071000e-03
0.0000000000e+00,4.2194063000e-03
0.0000000000e+00,4.2194063000e-03
0.0000000000e+00,4.2194063000e-03
0.0000000000e+00,4.2194063000e-03
0.0000000000e+00,4.2194063000e-03
0.0000000000e+00,2.6788071000e-03
0.0000000000e+00,7.5880537000e-04
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00
