Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	0.040287	24.822	19.850	22.332	120.79	29.016	37.520	269.39	1.0761	15.003	0.016774	vapor
300.00	11.000	0.46696	2.1415	19.554	21.910	99.857	30.141	40.909	261.63	1.0806	15.122	0.017406	vapor
300.00	21.000	0.94655	1.0565	19.225	21.444	93.356	31.438	45.439	253.29	1.0844	15.303	0.018249	vapor
300.00	31.000	1.4995	0.66690	18.850	20.918	88.812	32.999	51.930	244.17	1.0859	15.575	0.019433	vapor
300.00	41.000	2.1626	0.46240	18.407	20.303	84.912	35.001	62.266	233.95	1.0826	15.995	0.021234	vapor
300.00	51.000	3.0157	0.33160	17.849	19.540	81.057	37.873	82.139	221.93	1.0679	16.690	0.024399	vapor
300.00	61.000	4.3125	0.23188	17.024	18.439	76.452	43.221	143.00	205.79	1.0199	18.103	0.032072	vapor
300.00	67.131	6.1028	0.16386	15.935	17.035	71.364	54.908	524.64	185.33	0.90093	20.811	0.055713	vapor
300.00	67.131	15.434	0.064793	12.036	12.471	56.151	49.288	382.79	245.67	0.27258	53.192	0.080841	liquid
300.00	71.000	16.196	0.061742	11.761	12.200	55.164	45.833	244.20	289.76	0.20892	57.699	0.079759	liquid
300.00	81.000	17.188	0.058179	11.384	11.855	53.817	43.391	169.22	348.25	0.14618	64.204	0.082725	liquid
300.00	91.000	17.798	0.056186	11.142	11.653	52.954	42.345	144.19	386.81	0.11592	68.615	0.085766	liquid
300.00	101.00	18.256	0.054777	10.956	11.509	52.287	41.745	130.52	417.05	0.096451	72.163	0.088447	liquid
