Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
250.00	1.0000	0.048542	20.601	18.448	20.509	114.15	26.766	35.428	247.79	1.7399	12.581	0.013051	vapor
250.00	17.850	1.0599	0.94353	17.550	19.234	86.439	32.827	54.421	221.22	1.8005	12.726	0.014981	vapor
250.00	17.850	23.767	0.042075	6.4256	6.5007	35.505	41.212	93.831	731.78	0.0057087	146.92	0.13655	liquid
250.00	21.000	23.797	0.042022	6.4108	6.4991	35.445	41.223	93.511	734.92	0.0052535	147.57	0.13692	liquid
250.00	41.000	23.981	0.041700	6.3209	6.4919	35.082	41.291	91.671	754.02	0.0025989	151.59	0.13925	liquid
250.00	61.000	24.153	0.041403	6.2367	6.4893	34.739	41.359	90.106	771.91	0.00028659	155.48	0.14146	liquid
250.00	81.000	24.314	0.041129	6.1575	6.4906	34.414	41.426	88.753	788.79	-0.0017533	159.25	0.14358	liquid
250.00	101.00	24.466	0.040873	6.0825	6.4953	34.105	41.491	87.568	804.83	-0.0035711	162.91	0.14562	liquid
250.00	121.00	24.610	0.040633	6.0113	6.5030	33.810	41.554	86.520	820.15	-0.0052045	166.49	0.14760	liquid
250.00	141.00	24.748	0.040408	5.9435	6.5133	33.527	41.616	85.584	834.84	-0.0066824	169.99	0.14950	liquid
250.00	161.00	24.879	0.040195	5.8787	6.5258	33.254	41.676	84.742	848.97	-0.0080276	173.42	0.15135	liquid
250.00	181.00	25.004	0.039993	5.8165	6.5404	32.992	41.734	83.979	862.60	-0.0092585	176.78	0.15315	liquid
250.00	201.00	25.125	0.039801	5.7568	6.5568	32.739	41.791	83.285	875.78	-0.010390	180.09	0.15490	liquid
