Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
400.00	1.0000	0.030123	33.198	22.966	26.286	132.14	33.051	41.446	307.28	0.53144	19.635	0.024718	vapor
400.00	51.000	1.6907	0.59146	22.105	25.121	97.291	34.725	48.429	294.41	0.50759	20.621	0.027507	vapor
400.00	101.00	3.7147	0.26920	21.112	23.831	89.140	36.505	58.900	286.81	0.45617	22.525	0.031977	vapor
400.00	101.00	3.7147	0.26920	21.112	23.831	89.140	36.505	58.900	286.81	0.45617	22.525	0.031977	supercritical
400.00	101.00	3.7147	0.26920	21.112	23.831	89.140	36.505	58.900	286.81	0.45617	22.525	0.031977	supercritical
400.00	151.00	6.1274	0.16320	20.007	22.472	83.134	38.097	72.342	290.35	0.37174	26.015	0.038897	supercritical
400.00	201.00	8.6957	0.11500	18.906	21.217	78.294	39.106	83.179	311.35	0.27163	31.487	0.047577	supercritical
400.00	251.00	10.983	0.091050	17.964	20.249	74.603	39.500	86.316	348.01	0.18679	38.175	0.056038	supercritical
400.00	301.00	12.790	0.078185	17.230	19.583	71.888	39.596	84.592	391.89	0.12802	44.883	0.063377	supercritical
400.00	351.00	14.186	0.070492	16.661	19.136	69.844	39.623	81.814	436.27	0.089576	51.067	0.069679	supercritical
400.00	401.00	15.291	0.065397	16.208	18.830	68.232	39.651	79.263	478.40	0.063805	56.681	0.075204	supercritical
400.00	451.00	16.194	0.061751	15.833	18.618	66.908	39.693	77.105	517.85	0.045602	61.807	0.080154	supercritical
400.00	501.00	16.952	0.058989	15.516	18.471	65.787	39.748	75.311	554.73	0.032172	66.535	0.084669	supercritical
