Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
50.000	1.0000	0.49531	2.0189	1.1372	1.5496	64.119	12.543	21.135	584.73	0.87075	2.4060	0.037774	vapor
100.00	1.0000	0.24572	4.0697	1.7987	2.6299	79.036	14.264	22.636	808.86	0.24101	4.1203	0.068369	vapor
150.00	1.0000	0.16368	6.1094	2.5852	3.8331	88.755	17.073	25.410	960.14	0.068565	5.5154	0.10114	vapor
200.00	1.0000	0.12275	8.1466	3.4908	5.1549	96.346	18.966	27.292	1090.2	0.00047027	6.7480	0.13300	vapor
250.00	1.0000	0.098203	10.183	4.4682	6.5482	102.56	20.010	28.331	1209.0	-0.034250	7.8788	0.16142	vapor
300.00	1.0000	0.081841	12.219	5.4836	7.9794	107.78	20.534	28.853	1319.3	-0.055235	8.9385	0.18670	vapor
350.00	1.0000	0.070153	14.255	6.5172	9.4288	112.25	20.773	29.090	1422.6	-0.069333	9.9446	0.20969	vapor
400.00	1.0000	0.061387	16.290	7.5588	10.886	116.14	20.873	29.189	1519.6	-0.079413	10.909	0.23110	vapor
450.00	1.0000	0.054569	18.325	8.6036	12.347	119.58	20.915	29.230	1611.3	-0.086874	11.838	0.25143	vapor
500.00	1.0000	0.049114	20.361	9.6500	13.809	122.66	20.941	29.256	1698.1	-0.092497	12.738	0.27104	vapor
550.00	1.0000	0.044650	22.396	10.698	15.272	125.45	20.972	29.287	1780.5	-0.096771	13.614	0.29018	vapor
600.00	1.0000	0.040931	24.431	11.747	16.738	128.00	21.015	29.330	1859.1	-0.10002	14.467	0.30904	vapor
650.00	1.0000	0.037783	26.467	12.800	18.206	130.35	21.073	29.387	1934.2	-0.10249	15.301	0.32775	vapor
700.00	1.0000	0.035085	28.502	13.855	19.677	132.53	21.146	29.460	2006.2	-0.10433	16.118	0.34642	vapor
750.00	1.0000	0.032747	30.537	14.914	21.152	134.56	21.234	29.549	2075.3	-0.10567	16.919	0.36511	vapor
800.00	1.0000	0.030701	32.573	15.979	22.632	136.48	21.339	29.653	2141.8	-0.10661	17.705	0.38388	vapor
850.00	1.0000	0.028895	34.608	17.049	24.118	138.28	21.459	29.773	2206.0	-0.10722	18.478	0.40276	vapor
900.00	1.0000	0.027290	36.643	18.125	25.609	139.98	21.594	29.908	2267.9	-0.10754	19.238	0.42180	vapor
950.00	1.0000	0.025854	38.678	19.208	27.109	141.60	21.744	30.058	2327.8	-0.10763	19.987	0.44100	vapor
1000.0	1.0000	0.024562	40.714	20.299	28.616	143.15	21.908	30.222	2385.8	-0.10753	20.726	0.46039	vapor
