#    Model               GR#     GDT_TS   NP_P    RANK  Z-M1-GDT  Z-MA-GDT  GDT_HA   GDC_SC   GDC_ALL  RMS_CA   RMS_ALL  NP   AL0_P  AL4_P  ALI_P  LGA_S    RMSD[L]  MolProb  LDDT    SphGr     CAD_AA  RPF    TMscore FlexE    QSE      CAD_SS   MP_clash reLLG_lddt reLLG_const 

1    T0206TS304_4-D1     304s    99.67    100.00  1     N/A       0.50      94.13    76.63    89.86    0.477    0.847    230  99.57  100.00  100.00  99.899   0.48     1.17     0.942   100.00    0.860   0.917  0.993   0.21     96.58    0.804    3.84     40.73      39.15        
2    T0206TS241_5-D1     241     99.67    100.00  1     N/A       0.50      93.92    76.21    89.79    0.475    0.853    230  99.57  100.00  100.00  99.865   0.48     1.22     0.944   100.00    0.860   0.920  0.993   0.19     96.67    0.805    4.38     45.98      35.09        
3    T0206TS241_4-D1     241     99.67    100.00  1     N/A       0.50      94.13    76.63    89.86    0.477    0.847    230  99.57  100.00  100.00  99.899   0.48     1.17     0.942   100.00    0.860   0.917  0.993   0.21     96.58    0.804    3.84     40.73      39.15        
4    T0206TS167_2-D1     167     99.67    100.00  1     N/A       0.50      93.92    76.58    89.93    0.464    0.805    230  99.57  100.00  100.00  99.897   0.46     1.19     0.944   100.00    0.864   0.918  0.993   0.17     96.39    0.804    4.11     42.31      40.33        
5    T0206TS294_3-D1     294     99.67    100.00  1     N/A       0.50      94.13    76.63    89.86    0.477    0.847    230  99.57  100.00  100.00  99.899   0.48     1.17     0.942   100.00    0.860   0.917  0.993   0.21     96.58    0.804    3.84     40.73      39.15        
6    T0206TS304_5-D1     304s    99.67    100.00  1     N/A       0.50      93.92    76.21    89.79    0.475    0.853    230  99.57  100.00  100.00  99.865   0.48     1.22     0.944   100.00    0.860   0.920  0.993   0.19     96.67    0.805    4.38     45.98      35.09        
7    T0206TS462_1-D1     462     99.56    100.00  7     0.49      0.50      93.37    73.61    88.42    0.495    0.907    230  99.57  100.00  100.00  99.865   0.50     0.76     0.927   100.00    0.846   0.908  0.993   0.24     95.27    0.783    0.82     36.88      35.15        
8    T0206TS147_1-D1     147s    99.56    100.00  7     0.49      0.50      93.37    73.61    88.42    0.495    0.907    230  99.57  100.00  100.00  99.865   0.50     0.76     0.927   100.00    0.846   0.908  0.993   0.24     95.27    0.783    0.82     36.88      35.15        
9    T0206TS019_4-D1     019s    99.56    100.00  7     N/A       0.50      93.15    73.96    88.57    0.503    0.885    230  99.57  100.00  100.00  99.83    0.50     0.87     0.930   100.00    0.849   0.910  0.992   0.23     95.67    0.789    1.37     36.88      35.29        
10   T0206TS274_1-D1     274     99.56    100.00  7     0.49      0.50      93.48    68.70    87.13    0.475    0.984    230  99.57  100.00  100.00  99.863   0.48     1.87     0.917   100.00    0.833   0.917  0.993   0.21     94.07    0.746    3.84     39.31      34.05        
11   T0206TS380_3-D1     380     99.56    100.00  7     N/A       0.50      94.24    76.47    89.91    0.477    0.843    230  99.57  100.00  100.00  99.865   0.48     1.15     0.944   100.00    0.860   0.920  0.993   0.20     96.67    0.803    3.56     48.53      44.51        
12   T0206TS494_1-D1     494     99.56    100.00  7     0.49      0.50      93.48    68.70    87.13    0.475    0.984    230  99.57  100.00  100.00  99.863   0.48     1.87     0.917   100.00    0.833   0.917  0.993   0.21     94.07    0.746    3.84     39.31      34.05        
13   T0206TS301_3-D1     301     99.56    100.00  7     N/A       0.50      94.46    76.22    89.86    0.478    0.845    230  99.57  100.00  100.00  99.83    0.48     1.17     0.942   100.00    0.857   0.918  0.993   0.20     96.56    0.800    3.84     46.23      40.77        
14   T0206TS397_5-D1     397     99.56    100.00  7     N/A       0.50      94.24    75.39    89.67    0.48     0.861    230  99.57  100.00  100.00  99.865   0.48     1.09     0.940   100.00    0.858   0.915  0.993   0.20     96.16    0.801    3.01     43.24      37.74        
