timestamp,source_package,target_package,call_type,source_module
2024-11-01T02:15:03Z,config,logging,require,config/initializer.rb
2024-11-01T02:15:04Z,crypto,logging,require,crypto/base.rb
2024-11-01T02:15:04Z,crypto,config,require,crypto/key_store.rb
2024-11-01T02:15:05Z,metrics,logging,require,metrics/reporter.rb
2024-11-01T02:15:06Z,cache,logging,require,cache/store.rb
2024-11-01T02:15:06Z,cache,config,require,cache/configuration.rb
2024-11-01T02:15:07Z,cache,metrics,require,cache/instrumentation.rb
2024-11-01T02:15:08Z,serializer,logging,require,serializer/base.rb
2024-11-01T02:15:08Z,serializer,crypto,require,serializer/encrypted.rb
2024-11-01T02:15:09Z,serializer,config,require,serializer/format_config.rb
2024-11-01T02:16:01Z,http_client,logging,require,http_client/connection.rb
2024-11-01T02:16:02Z,http_client,config,require,http_client/settings.rb
2024-11-01T02:16:02Z,http_client,crypto,require,http_client/tls.rb
2024-11-01T02:16:03Z,http_client,serializer,require,http_client/body_parser.rb
2024-11-01T02:16:10Z,db_driver,logging,require,db_driver/connection_pool.rb
2024-11-01T02:16:11Z,db_driver,config,require,db_driver/database_config.rb
2024-11-01T02:16:11Z,db_driver,metrics,require,db_driver/query_metrics.rb
2024-11-01T02:16:12Z,db_driver,http_client,require,db_driver/remote_replica.rb
2024-11-01T02:16:13Z,db_driver,storage_client,require,db_driver/blob_store.rb
2024-11-01T02:16:20Z,queue_client,logging,require,queue_client/consumer.rb
2024-11-01T02:16:21Z,queue_client,config,require,queue_client/broker_config.rb
2024-11-01T02:16:22Z,queue_client,serializer,require,queue_client/message_format.rb
2024-11-01T02:16:23Z,queue_client,user_model,require,queue_client/auth_context.rb
2024-11-01T02:16:30Z,storage_client,logging,require,storage_client/client.rb
2024-11-01T02:16:31Z,storage_client,http_client,require,storage_client/s3_adapter.rb
2024-11-01T02:16:32Z,storage_client,crypto,require,storage_client/encryption.rb
2024-11-01T02:16:33Z,storage_client,db_driver,require,storage_client/metadata_store.rb
2024-11-01T02:16:40Z,email_client,http_client,require,email_client/smtp_relay.rb
2024-11-01T02:16:41Z,email_client,logging,require,email_client/delivery.rb
2024-11-01T02:16:42Z,email_client,config,require,email_client/templates.rb
2024-11-01T02:16:50Z,search_client,http_client,require,search_client/elastic_adapter.rb
2024-11-01T02:16:51Z,search_client,serializer,require,search_client/document_mapper.rb
