PREC,PETINP
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0004117998
0.0000000000,0.0018689601
0.0000000000,0.0031202205
0.0000000000,0.0031202205
0.0000000000,0.0031202205
0.0000000000,0.0031202205
0.0000000000,0.0031202205
0.0000000000,0.0018689601
0.0000000000,0.0004117998
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0004373958
0.0000000000,0.0019456330
0.0000000000,0.0032351722
0.0000000000,0.0032351722
0.0000000000,0.0032351722
0.0000000000,0.0032351722
0.0000000000,0.0032351722
0.0000000000,0.0019456330
0.0000000000,0.0004373958
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0004931235
0.0000000000,0.0021479344
0.0000000000,0.0035561835
0.0000000000,0.0035561835
0.0000000000,0.0035561835
0.0000000000,0.0035561835
0.0000000000,0.0035561835
0.0000000000,0.0021479344
0.0000000000,0.0004931235
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0004962552
0.0000000000,0.0021150133
0.0000000000,0.0034856438
0.0000000000,0.0034856438
0.0000000000,0.0034856438
0.0000000000,0.0034856438
0.0000000000,0.0034856438
0.0000000000,0.0021150133
0.0099999802,0.0004962552
0.0299999400,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0199999600,0.0000000000
0.0000000000,0.0000000000
0.0299999400,0.0000000000
0.0299999400,0.0000000000
0.0099999802,0.0000000000
0.0199999600,0.0000000000
0.0199999600,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0799998420,0.0005842146
0.0399999210,0.0024346784
0.0000000000,0.0039930348
