# Speciation Cross-Reference File
# Fields: SCC; PROFILE_CODE; POLLUTANT; FIPS; MACT; SIC
# FIPS format: 6-digit YSSCCC (Y=0 for US)
# SCC 0000000000 = not SCC-specific
# POLLUTANT 0 = not pollutant-specific
# Empty FIPS = not location-specific
2104008000; 0004; VOC; 037001; 0; 0
2104008000; 0003; VOC; 037000; 0; 0
2302003100; 0006; VOC; 013000; 0; 0
2104008000; 0002; VOC; ; 0; 0
2104008000; 0011; NOX; ; 0; 0
2302003100; 0005; VOC; ; 0; 0
2801500000; 0007; VOC; ; 0; 0
2801500000; 0012; NOX; ; 0; 0
0000000000; 0031; PM25; 013001; 0; 0
0000000000; 0001; VOC; ; 0; 0
0000000000; 0010; NOX; ; 0; 0
0000000000; 0020; CO; ; 0; 0
0000000000; 0030; PM25; ; 0; 0
2801500000; 0040; 0; ; 0; 0
