heu-comp-inter-003, case-1, 1.0, 0.0057
heu-comp-inter-003, case-2, 1.0, 0.0061
heu-met-fast-001, case-1, 1.0, 0.001
heu-met-fast-001, case-2, 1.0, 0.001
heu-met-fast-002, case-1, 1.0, 0.003
heu-met-fast-002, case-2, 1.0, 0.003
heu-met-fast-003, case-1, 1.0, 0.005
heu-met-fast-003, case-2, 1.0, 0.005
heu-met-fast-003, case-3, 1.0, 0.005
heu-met-fast-003, case-4, 1.0, 0.003
heu-met-fast-008, , 0.9989, 0.0016
heu-met-fast-009, case-1, 0.9992, 0.0015
heu-met-fast-009, case-2, 0.9992, 0.0015
heu-met-fast-011, , 0.9989, 0.0015
heu-met-fast-018, case-1, 1.0, 0.0014
heu-met-fast-018, case-2, 1.0, 0.0014
ieu-met-fast-001, case-1, 0.9988, 0.0009
ieu-met-fast-001, case-2, 0.9997, 0.0009
ieu-met-fast-002, , 1.0, 0.0030
leu-comp-therm-008, case-1, 1.0007, 0.0012
leu-comp-therm-008, case-2, 1.0007, 0.0012
mix-met-fast-001, , 1.0, 0.0016
mix-met-fast-003, , 0.9993, 0.0016
pu-met-fast-001, , 1.0, 0.0020
pu-met-fast-002, , 1.0, 0.0020
pu-met-fast-005, , 1.0, 0.0013
pu-met-fast-006, , 1.0, 0.0030
pu-met-fast-010, , 1.0, 0.0018
pu-met-fast-011, , 1.0, 0.0010
u233-met-fast-001, , 1.0, 0.0010
u233-met-fast-006, , 1.0, 0.0014
