date,price
2015-01-02,100.000000
2015-01-05,99.875829
2015-01-06,99.724658
2015-01-07,99.631680
2015-01-08,100.306686
2015-01-09,100.197757
2015-01-12,98.801836
2015-01-13,99.124373
2015-01-14,98.886062
2015-01-15,98.695295
2015-01-16,98.815190
2015-01-19,99.044118
2015-01-20,100.150999
2015-01-21,100.786328
2015-01-22,100.903635
2015-01-23,100.214062
2015-01-26,99.269652
2015-01-27,99.512839
2015-01-28,100.765322
2015-01-29,100.816994
2015-01-30,100.727749
2015-02-02,101.247213
2015-02-03,99.878008
2015-02-04,99.595584
2015-02-05,100.070042
2015-02-06,100.911340
2015-02-09,100.694141
2015-02-10,101.065134
2015-02-11,101.314510
2015-02-12,102.078383
2015-02-13,101.022278
2015-02-16,101.578265
2015-02-17,100.146865
2015-02-18,97.709681
2015-02-19,97.162527
2015-02-20,96.336818
2015-02-23,97.149124
2015-02-24,97.772459
2015-02-25,96.664170
2015-02-26,97.452849
2015-02-27,96.545827
2015-03-02,96.478666
2015-03-03,96.222562
2015-03-04,96.338119
2015-03-05,97.097779
2015-03-06,97.696916
2015-03-09,98.032117
2015-03-10,98.647770
2015-03-11,99.106596
2015-03-12,98.532909
2015-03-13,97.878912
2015-03-16,97.456818
2015-03-17,97.929382
2015-03-18,97.709843
2015-03-19,99.902244
2015-03-20,99.143631
2015-03-23,98.131191
2015-03-24,98.858122
2015-03-25,100.207194
2015-03-26,100.699151
2015-03-27,101.509679
2015-03-30,102.899305
2015-03-31,102.820162
2015-04-01,101.459004
2015-04-02,100.962202
2015-04-03,101.887501
2015-04-06,100.519008
2015-04-07,100.562833
2015-04-08,100.815756
2015-04-09,100.527531
2015-04-10,101.229312
2015-04-13,101.798489
2015-04-14,104.068523
2015-04-15,104.692423
2015-04-16,104.103696
2015-04-17,103.564855
2015-04-20,102.766495
2015-04-21,103.707721
2015-04-22,103.166021
2015-04-23,103.109826
2015-04-24,103.854822
2015-04-27,103.159563
2015-04-28,102.885960
2015-04-29,101.123417
2015-04-30,100.106268
2015-05-01,99.582530
2015-05-04,99.986419
2015-05-05,101.132432
2015-05-06,101.126825
2015-05-07,101.388952
2015-05-08,101.562090
2015-05-11,102.620654
2015-05-12,103.502905
2015-05-13,103.783281
2015-05-14,102.808847
2015-05-15,103.702544
