1001	10048	1
1001	10049	2
1001	10009	3
1001	10061	4
1001	10003	5
1001	10014	6
1001	10023	7
1001	10008	8
1001	10067	9
1001	10037	10
1001	10053	11
1001	10079	12
1001	10094	13
1001	10030	14
1001	10093	15
1001	10054	16
1001	10055	17
1001	10021	18
1001	10080	19
1001	10096	20
1001	10058	21
1001	10064	22
1001	10005	23
1001	10085	24
1001	10045	25
1001	10032	26
1001	10017	27
1001	10088	28
1001	10011	29
1001	10074	30
1001	10039	31
1001	10059	32
1001	10015	33
1001	10036	34
1001	10027	35
1001	10042	36
1001	10066	37
1001	10062	38
1001	10095	39
1001	10086	40
1001	10076	41
1001	10033	42
1001	10060	43
1001	10073	44
1001	10026	45
1001	10019	46
1001	10035	47
1001	10097	48
1001	10010	49
1001	10071	50
1001	10089	51
1001	10016	52
1001	10020	53
1001	10078	54
1001	10047	55
1001	10006	56
1001	10004	57
1001	10090	58
1001	10082	59
1001	10007	60
1001	10034	61
1001	10041	62
1001	10002	63
1001	10056	64
1001	10044	65
1001	10100	66
1001	10043	67
1001	10065	68
1001	10013	69
1001	10083	70
1001	10072	71
1001	10052	72
1001	10077	73
1001	10087	74
1001	10031	75
1001	10040	76
1001	10029	77
1001	10028	78
1001	10051	79
1001	10038	80
1001	10075	81
1001	10025	82
1001	10057	83
1001	10022	84
1001	10012	85
1001	10098	86
1001	10068	87
1001	10099	88
1001	10069	89
1001	10070	90
1001	10081	91
1001	10024	92
1001	10092	93
1001	10050	94
1001	10046	95
1001	10001	96
1001	10018	97
1001	10091	98
1001	10063	99
1001	10084	100
1002	10127	1
1002	10113	2
1002	10110	3
1002	10104	4
1002	10122	5
1002	10137	6
1002	10172	7
1002	10133	8
1002	10146	9
1002	10165	10
1002	10135	11
1002	10158	12
1002	10186	13
1002	10102	14
1002	10117	15
1002	10106	16
1002	10140	17
1002	10168	18
1002	10145	19
1002	10129	20
1002	10166	21
1002	10175	22
1002	10108	23
1002	10128	24
1002	10195	25
1002	10142	26
1002	10144	27
1002	10177	28
1002	10150	29
1002	10163	30
1002	10152	31
1002	10118	32
1002	10164	33
1002	10126	34
1002	10185	35
1002	10169	36
1002	10139	37
