time,prey,predator
0.0,1.0099342830602247,0.9972347139765763
0.5,1.544184550465769,0.4406157713813445
1.0,2.7681678343467384,0.2540281390038267
1.5,5.105838173110198,0.4068028039575582
2.0,6.767799900564633,2.0236049124364177
2.5,2.1690768199519628,4.3599176836061915
3.0,0.9751696965863924,1.8715882331638445
3.5,1.0934703308746248,0.6902674946642835
4.0,1.8641160682464164,0.3297635033400232
4.5,3.4599358221064835,0.23582875007937162
5.0,6.1278076513500075,0.6236223761769442
5.5,5.3552013598540285,3.5732159513535082
6.0,1.382640417689221,3.4690819665425243
6.5,0.9307911472610984,1.3219830174093292
7.0,1.318026719127613,0.5013091155920222
7.5,2.335367738141961,0.31181014211690644
8.0,4.342904726068959,0.2899246572326053
8.5,6.85694452481522,1.1693897216888407
9.0,3.2778677127293943,4.520877032317275
9.5,1.0388744003988442,2.5018265496391785
10.0,1.041114099172387,0.9131184437606993
