         128            1           0.085                 2048                 4096
         128            2           0.167                 4096                 8192
         128            4           0.328                 8192                16384
         128            8           0.649                16384                32768
         128           16           1.289                32768                65536
         128           32           2.569                65536               131072
         128           64           5.129               131072               262144
         128          128          10.250               262144               524288
         128          256          20.490               524288              1048576
         128          512          40.970              1048576              2097152
         128         1024          81.930              2097152              4194304
         181            1           0.120                 2896                 5792
         181            2           0.236                 5792                11584
         181            4           0.464                11584                23168
         181            8           0.917                23168                46336
         181           16           1.823                46336                92672
         181           32           3.633                92672               185344
         181           64           7.253               185344               370688
         181          128          14.493               370688               741376
         181          256          28.974               741376              1482752
         181          512          57.934              1482752              2965504
         181         1024         115.854              2965504              5931008
         256            1           0.170                 4096                 8192
         256            2           0.333                 8192                16384
         256            4           0.656                16384                32768
         256            8           1.297                32768                65536
         256           16           2.578                65536               131072
         256           32           5.139               131072               262144
         256           64          10.259               262144               524288
         256          128          20.499               524288              1048576
         256          256          40.979              1048576              2097152
         256          512          81.939              2097152              4194304
         256         1024         163.859              4194304              8388608
         362            1           0.241                 5792                11584
         362            2           0.471                11584                23168
         362            4           0.927                23168                46336
         362            8           1.834                46336                92672
         362           16           3.646                92672               185344
         362           32           7.266               185344               370688
         362           64          14.507               370688               741376
         362          128          28.987               741376              1482752
         362          256          57.947              1482752              2965504
         362          512         115.867              2965504              5931008
         362         1024         231.707              5931008             11862016
         512            1           0.340                 8192                16384
         512            2           0.667                16384                32768
         512            4           1.311                32768                65536
         512            8           2.595                65536               131072
         512           16           5.156               131072               262144
         512           32          10.277               262144               524288
         512           64          20.518               524288              1048576
         512          128          40.998              1048576              2097152
         512          256          81.958              2097152              4194304
         512          512         163.878              4194304              8388608
         512         1024         327.718              8388608             16777216
         724            1           0.481                11584                23168
         724            2           0.943                23168                46336
         724            4           1.855                46336                92672
         724            8           3.669                92672               185344
         724           16           7.291               185344               370688
         724           32          14.533               370688               741376
         724           64          29.014               741376              1482752
         724          128          57.974              1482752              2965504
         724          256         115.894              2965504              5931008
         724          512         231.734              5931008             11862016
         724         1024         463.414             11862016             23724032
        1024            1           0.681                16384                32768
        1024            2           1.333                32768                65536
        1024            4           2.623                65536               131072
        1024            8           5.189               131072               262144
        1024           16          10.313               262144               524288
        1024           32          20.555               524288              1048576
        1024           64          41.036              1048576              2097152
        1024          128          81.996              2097152              4194304
        1024          256         163.917              4194304              8388608
        1024          512         327.757              8388608             16777216
        1024         1024         655.437             16777216             33554432
        1448            1           0.963                23168                46336
        1448            2           1.885                46336                92672
        1448            4           3.709                92672               185344
        1448            8           7.338               185344               370688
        1448           16          14.583               370688               741376
        1448           32          29.066               741376              1482752
        1448           64          58.027              1482752              2965504
        1448          128         115.948              2965504              5931008
        1448          256         231.788              5931008             11862016
        1448          512         463.468             11862016             23724032
        1448         1024         926.829             23724032             47448064
        2048            1           1.362                32768                65536
        2048            2           2.667                65536               131072
        2048            4           5.246               131072               262144
        2048            8          10.378               262144               524288
        2048           16          20.626               524288              1048576
        2048           32          41.109              1048576              2097152
        2048           64          82.072              2097152              4194304
        2048          128         163.993              4194304              8388608
        2048          256         327.833              8388608             16777216
        2048          512         655.513             16777216             33554432
        2048         1024        1310.873             33554432             67108864
        2896            1           1.926                46336                92672
        2896            2           3.771                92672               185344
        2896            4           7.418               185344               370688
        2896            8          14.676               370688               741376
        2896           16          29.166               741376              1482752
        2896           32          58.131              1482752              2965504
        2896           64         116.054              2965504              5931008
        2896          128         231.896              5931008             11862016
        2896          256         463.576             11862016             23724032
        2896          512         926.937             23724032             47448064
        2896         1024        1853.657             47448064             94896128
        4096            1           2.723                65536               131072
        4096            2           5.333               131072               262144
        4096            4          10.492               262144               524288
        4096            8          20.757               524288              1048576
        4096           16          41.251              1048576              2097152
        4096           32          82.219              2097152              4194304
        4096           64         164.143              4194304              8388608
        4096          128         327.985              8388608             16777216
        4096          256         655.666             16777216             33554432
        4096          512        1311.027             33554432             67108864
        4096         1024        2621.747             67108864            134217728
        5793            1           3.852                92688               185376
        5793            2           7.543               185376               370752
        5793            4          14.839               370752               741504
        5793            8          29.356               741504              1483008
        5793           16          58.342              1483008              2966016
        5793           32         116.283              2966016              5932032
        5793           64         232.149              5932032             11864064
        5793          128         463.872             11864064             23728128
        5793          256         927.313             23728128             47456256
        5793          512        1854.194             47456256             94912512
        5793         1024        3707.954             94912512            189825024
        8192            1           5.447               131072               262144
        8192            2          10.667               262144               524288
        8192            4          20.984               524288              1048576
        8192            8          41.514              1048576              2097152
        8192           16          82.502              2097152              4194304
        8192           32         164.438              4194304              8388608
        8192           64         328.286              8388608             16777216
        8192          128         655.970             16777216             33554432
        8192          256        1311.332             33554432             67108864
        8192          512        2622.053             67108864            134217728
        8192         1024        5243.494            134217728            268435456
       11585            1           7.703               185360               370720
       11585            2          15.085               370720               741440
       11585            4          29.675               741440              1482880
       11585            8          58.708              1482880              2965760
       11585           16         116.674              2965760              5931520
       11585           32         232.546              5931520             11863040
       11585           64         464.257             11863040             23726080
       11585          128         927.663             23726080             47452160
       11585          256        1854.466             47452160             94904320
       11585          512        3708.067             94904320            189808640
       11585         1024        7415.268            189808640            379617280
       16384            1          10.894               262144               524288
       16384            2          21.333               524288              1048576
       16384            4          41.967              1048576              2097152
       16384            8          83.027              2097152              4194304
       16384           16         165.005              4194304              8388608
       16384           32         328.876              8388608             16777216
       16384           64         656.572             16777216             33554432
       16384          128        1311.940             33554432             67108864
       16384          256        2622.665             67108864            134217728
       16384          512        5244.107            134217728            268435456
       16384         1024       10486.988            268435456            536870912
       23170            1          15.406               370720               741440
       23170            2          30.169               741440              1482880
       23170            4          59.349              1482880              2965760
       23170            8         117.416              2965760              5931520
       23170           16         233.347              5931520             11863040
       23170           32         465.091             11863040             23726080
       23170           64         928.514             23726080             47452160
       23170          128        1855.326             47452160             94904320
       23170          256        3708.932             94904320            189808640
       23170          512        7416.135            189808640            379617280
       32768            1          21.787               524288              1048576
       32768            2          42.667              1048576              2097152
       32768            4          83.934              2097152              4194304
       32768            8         166.054              4194304              8388608
       32768           16         330.009              8388608             16777216
