GN0001    20200101     5000000.00     5000000.00  1.00000000   4.000   4.500 360   0    85
GN0002    20200101     8000000.00     8000000.00  1.00000000   3.500   3.875 360   0   120
GN0003    20200101     3200000.00     3200000.00  1.00000000   5.000   5.625 180   0    45
GN0001    20200201     5000000.00     4993415.22  0.99868304   4.000   4.500 359   1    85
GN0002    20200201     8000000.00     7988520.14  0.99856502   3.500   3.875 359   1   120
GN0003    20200201     3200000.00     3181475.88  0.99421122   5.000   5.625 179   1    45
GN0001    20200301     5000000.00     4986806.39  0.99736128   4.000   4.500 358   2    85
GN0002    20200301     8000000.00     7976999.92  0.99712499   3.500   3.875 358   2   120
GN0003    20200301     3200000.00     3162876.05  0.98839877   5.000   5.625 178   2    45
GN0001    20200401     5000000.00     4980173.41  0.99603469   4.000   4.500 357   3    85
GN0002    20200401     8000000.00     7965439.17  0.99567990   3.500   3.875 357   3   120
GN0003    20200401     3200000.00     3144200.18  0.98256256   5.000   5.625 177   3    45
GN0001    20200501     5000000.00     4973516.17  0.99470323   4.000   4.500 356   4    85
GN0002    20200501     8000000.00     7953837.71  0.99422971   3.500   3.875 356   4   120
GN0003    20200501     3200000.00     3125447.92  0.97670248   5.000   5.625 176   4    45
GN0001    20200601     5000000.00     4966834.58  0.99336691   4.000   4.500 355   5    85
GN0002    20200601     8000000.00     7942195.36  0.99277442   3.500   3.875 355   5   120
GN0003    20200601     3200000.00     3106618.92  0.97081841   5.000   5.625 175   5    45
