id	effectiveTime	active	moduleId	definitionStatusId
138875005	20240101	1	900000000000207008	900000000000074008
404684003	20240101	1	900000000000207008	900000000000074008
64572001	20240101	1	900000000000207008	900000000000074008
73211009	20240101	1	900000000000207008	900000000000074008
46635009	20240101	1	900000000000207008	900000000000073002
44054006	20240101	1	900000000000207008	900000000000073002
56265001	20240101	1	900000000000207008	900000000000074008
22298006	20240101	1	900000000000207008	900000000000073002
49436004	20240101	1	900000000000207008	900000000000073002
50043002	20240101	1	900000000000207008	900000000000074008
195967001	20240101	1	900000000000207008	900000000000073002
233604007	20240101	1	900000000000207008	900000000000073002
235856003	20240101	1	900000000000207008	900000000000074008
197321007	20240101	1	900000000000207008	900000000000073002
128302006	20240101	1	900000000000207008	900000000000073002
418799008	20240101	1	900000000000207008	900000000000074008
25064002	20240101	1	900000000000207008	900000000000073002
29857009	20240101	1	900000000000207008	900000000000073002
267036007	20240101	1	900000000000207008	900000000000073002
71388002	20240101	1	900000000000207008	900000000000074008
387713003	20240101	1	900000000000207008	900000000000074008
232717009	20240101	1	900000000000207008	900000000000073002
80146002	20240101	1	900000000000207008	900000000000073002
174041007	20240101	1	900000000000207008	900000000000073002
103693007	20240101	1	900000000000207008	900000000000074008
252416005	20240101	1	900000000000207008	900000000000073002
386053000	20240101	1	900000000000207008	900000000000073002
123037004	20240101	1	900000000000207008	900000000000074008
39607008	20240101	1	900000000000207008	900000000000074008
80891009	20240101	1	900000000000207008	900000000000074008
10200004	20240101	1	900000000000207008	900000000000074008
66019005	20240101	1	900000000000207008	900000000000074008
53120007	20240101	1	900000000000207008	900000000000074008
61685007	20240101	1	900000000000207008	900000000000074008
69536005	20240101	1	900000000000207008	900000000000074008
49755003	20240101	1	900000000000207008	900000000000074008
55641003	20240101	1	900000000000207008	900000000000074008
56208002	20240101	1	900000000000207008	900000000000074008
76197007	20240101	1	900000000000207008	900000000000074008
105590001	20240101	1	900000000000207008	900000000000074008
387207008	20240101	1	900000000000207008	900000000000074008
372756006	20240101	1	900000000000207008	900000000000074008
387517004	20240101	1	900000000000207008	900000000000074008
362981000	20240101	1	900000000000207008	900000000000074008
24028007	20240101	1	900000000000207008	900000000000074008
7771000	20240101	1	900000000000207008	900000000000074008
410662002	20240101	1	900000000000207008	900000000000074008
363698007	20240101	1	900000000000207008	900000000000074008
116676008	20240101	1	900000000000207008	900000000000074008
246075003	20240101	1	900000000000207008	900000000000074008
363704007	20240101	1	900000000000207008	900000000000074008
260686004	20240101	1	900000000000207008	900000000000074008
116680003	20240101	1	900000000000207008	900000000000074008
99900009	20240101	1	900000000000207008	900000000000074008
129264002	20240101	1	900000000000207008	900000000000074008
129284003	20240101	1	900000000000207008	900000000000073002
99910000	20240101	0	900000000000207008	900000000000074008
88810001	20240101	1	900000000000207008	900000000000073002
88820008	20240101	1	900000000000207008	900000000000073002
88830009	20240101	1	900000000000207008	900000000000074008
