id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
100000001	20240101	1	900000000000207008	404684003	138875005	0	116680003	900000000000011006	900000000000451002
100000002	20240101	1	900000000000207008	64572001	404684003	0	116680003	900000000000011006	900000000000451002
100000003	20240101	1	900000000000207008	73211009	64572001	0	116680003	900000000000011006	900000000000451002
100000004	20240101	1	900000000000207008	46635009	73211009	0	116680003	900000000000011006	900000000000451002
100000005	20240101	1	900000000000207008	44054006	73211009	0	116680003	900000000000011006	900000000000451002
100000006	20240101	1	900000000000207008	56265001	64572001	0	116680003	900000000000011006	900000000000451002
100000007	20240101	1	900000000000207008	22298006	56265001	0	116680003	900000000000011006	900000000000451002
100000008	20240101	1	900000000000207008	49436004	56265001	0	116680003	900000000000011006	900000000000451002
100000009	20240101	1	900000000000207008	50043002	64572001	0	116680003	900000000000011006	900000000000451002
100000010	20240101	1	900000000000207008	195967001	50043002	0	116680003	900000000000011006	900000000000451002
100000011	20240101	1	900000000000207008	233604007	50043002	0	116680003	900000000000011006	900000000000451002
100000012	20240101	1	900000000000207008	235856003	64572001	0	116680003	900000000000011006	900000000000451002
100000013	20240101	1	900000000000207008	197321007	235856003	0	116680003	900000000000011006	900000000000451002
100000014	20240101	1	900000000000207008	128302006	235856003	0	116680003	900000000000011006	900000000000451002
100000015	20240101	1	900000000000207008	418799008	404684003	0	116680003	900000000000011006	900000000000451002
100000016	20240101	1	900000000000207008	25064002	418799008	0	116680003	900000000000011006	900000000000451002
100000017	20240101	1	900000000000207008	29857009	418799008	0	116680003	900000000000011006	900000000000451002
100000018	20240101	1	900000000000207008	267036007	418799008	0	116680003	900000000000011006	900000000000451002
100000019	20240101	1	900000000000207008	71388002	138875005	0	116680003	900000000000011006	900000000000451002
100000020	20240101	1	900000000000207008	387713003	71388002	0	116680003	900000000000011006	900000000000451002
100000021	20240101	1	900000000000207008	232717009	387713003	0	116680003	900000000000011006	900000000000451002
100000022	20240101	1	900000000000207008	80146002	387713003	0	116680003	900000000000011006	900000000000451002
100000023	20240101	1	900000000000207008	174041007	387713003	0	116680003	900000000000011006	900000000000451002
100000024	20240101	1	900000000000207008	103693007	71388002	0	116680003	900000000000011006	900000000000451002
100000025	20240101	1	900000000000207008	252416005	103693007	0	116680003	900000000000011006	900000000000451002
100000026	20240101	1	900000000000207008	386053000	103693007	0	116680003	900000000000011006	900000000000451002
100000027	20240101	1	900000000000207008	123037004	138875005	0	116680003	900000000000011006	900000000000451002
100000028	20240101	1	900000000000207008	39607008	123037004	0	116680003	900000000000011006	900000000000451002
100000029	20240101	1	900000000000207008	80891009	123037004	0	116680003	900000000000011006	900000000000451002
100000030	20240101	1	900000000000207008	10200004	123037004	0	116680003	900000000000011006	900000000000451002
100000031	20240101	1	900000000000207008	66019005	123037004	0	116680003	900000000000011006	900000000000451002
100000032	20240101	1	900000000000207008	53120007	66019005	0	116680003	900000000000011006	900000000000451002
100000033	20240101	1	900000000000207008	61685007	66019005	0	116680003	900000000000011006	900000000000451002
100000034	20240101	1	900000000000207008	69536005	123037004	0	116680003	900000000000011006	900000000000451002
100000035	20240101	1	900000000000207008	49755003	138875005	0	116680003	900000000000011006	900000000000451002
100000036	20240101	1	900000000000207008	55641003	49755003	0	116680003	900000000000011006	900000000000451002
100000037	20240101	1	900000000000207008	56208002	49755003	0	116680003	900000000000011006	900000000000451002
100000038	20240101	1	900000000000207008	76197007	49755003	0	116680003	900000000000011006	900000000000451002
100000039	20240101	1	900000000000207008	105590001	138875005	0	116680003	900000000000011006	900000000000451002
100000040	20240101	1	900000000000207008	387207008	105590001	0	116680003	900000000000011006	900000000000451002
100000041	20240101	1	900000000000207008	372756006	105590001	0	116680003	900000000000011006	900000000000451002
100000042	20240101	1	900000000000207008	387517004	105590001	0	116680003	900000000000011006	900000000000451002
100000043	20240101	1	900000000000207008	362981000	138875005	0	116680003	900000000000011006	900000000000451002
100000044	20240101	1	900000000000207008	24028007	362981000	0	116680003	900000000000011006	900000000000451002
100000045	20240101	1	900000000000207008	7771000	362981000	0	116680003	900000000000011006	900000000000451002
100000046	20240101	1	900000000000207008	410662002	138875005	0	116680003	900000000000011006	900000000000451002
100000047	20240101	1	900000000000207008	363698007	410662002	0	116680003	900000000000011006	900000000000451002
100000048	20240101	1	900000000000207008	116676008	410662002	0	116680003	900000000000011006	900000000000451002
100000049	20240101	1	900000000000207008	246075003	410662002	0	116680003	900000000000011006	900000000000451002
100000050	20240101	1	900000000000207008	363704007	410662002	0	116680003	900000000000011006	900000000000451002
100000051	20240101	1	900000000000207008	260686004	410662002	0	116680003	900000000000011006	900000000000451002
100000052	20240101	1	900000000000207008	116680003	138875005	0	116680003	900000000000011006	900000000000451002
100000053	20240101	1	900000000000207008	99900009	138875005	0	116680003	900000000000011006	900000000000451002
100000054	20240101	1	900000000000207008	129264002	138875005	0	116680003	900000000000011006	900000000000451002
100000055	20240101	1	900000000000207008	129284003	129264002	0	116680003	900000000000011006	900000000000451002
100000056	20240101	1	900000000000207008	22298006	80891009	1	363698007	900000000000011006	900000000000451002
100000057	20240101	1	900000000000207008	22298006	55641003	1	116676008	900000000000011006	900000000000451002
100000058	20240101	1	900000000000207008	49436004	80891009	1	363698007	900000000000011006	900000000000451002
100000059	20240101	1	900000000000207008	195967001	39607008	1	363698007	900000000000011006	900000000000451002
100000060	20240101	1	900000000000207008	233604007	39607008	1	363698007	900000000000011006	900000000000451002
100000061	20240101	1	900000000000207008	233604007	56208002	1	116676008	900000000000011006	900000000000451002
100000062	20240101	1	900000000000207008	197321007	10200004	1	363698007	900000000000011006	900000000000451002
100000063	20240101	1	900000000000207008	128302006	10200004	1	363698007	900000000000011006	900000000000451002
100000064	20240101	1	900000000000207008	25064002	69536005	1	363698007	900000000000011006	900000000000451002
100000065	20240101	1	900000000000207008	29857009	80891009	1	363698007	900000000000011006	900000000000451002
100000066	20240101	1	900000000000207008	267036007	39607008	1	363698007	900000000000011006	900000000000451002
100000067	20240101	1	900000000000207008	232717009	80891009	1	363704007	900000000000011006	900000000000451002
100000068	20240101	1	900000000000207008	232717009	129284003	1	260686004	900000000000011006	900000000000451002
100000069	20240101	1	900000000000207008	80146002	129284003	1	260686004	900000000000011006	900000000000451002
100000070	20240101	1	900000000000207008	174041007	10200004	1	363704007	900000000000011006	900000000000451002
100000071	20240101	1	900000000000207008	174041007	129284003	1	260686004	900000000000011006	900000000000451002
100000072	20240101	0	900000000000207008	99910000	39607008	1	363698007	900000000000011006	900000000000451002
100000073	20240101	1	900000000000207008	88810001	73211009	0	116680003	900000000000011006	900000000000451002
100000074	20240101	1	900000000000207008	88810001	80891009	1	363698007	900000000000011006	900000000000451002
100000075	20240101	1	900000000000207008	88820008	50043002	0	116680003	900000000000011006	900000000000451002
100000076	20240101	1	900000000000207008	88820008	66019005	1	363698007	900000000000011006	900000000000451002
100000077	20240101	1	900000000000207008	88830009	123037004	0	116680003	900000000000011006	900000000000451002
