id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
200000001	20240101	1	900000000000207008	138875005	en	900000000000003001	SNOMED CT Concept (SNOMED RT+CTV3)	900000000000448009
200000002	20240101	1	900000000000207008	138875005	en	900000000000013009	SNOMED CT Concept	900000000000448009
200000003	20240101	1	900000000000207008	404684003	en	900000000000003001	Clinical finding (finding)	900000000000448009
200000004	20240101	1	900000000000207008	404684003	en	900000000000013009	Clinical finding	900000000000448009
200000005	20240101	1	900000000000207008	64572001	en	900000000000003001	Disease (disorder)	900000000000448009
200000006	20240101	1	900000000000207008	64572001	en	900000000000013009	Disease	900000000000448009
200000007	20240101	1	900000000000207008	73211009	en	900000000000003001	Diabetes mellitus (disorder)	900000000000448009
200000008	20240101	1	900000000000207008	73211009	en	900000000000013009	Diabetes mellitus	900000000000448009
200000009	20240101	1	900000000000207008	46635009	en	900000000000003001	Type 1 diabetes mellitus (disorder)	900000000000448009
200000010	20240101	1	900000000000207008	46635009	en	900000000000013009	Type 1 diabetes mellitus	900000000000448009
200000011	20240101	1	900000000000207008	44054006	en	900000000000003001	Type 2 diabetes mellitus (disorder)	900000000000448009
200000012	20240101	1	900000000000207008	44054006	en	900000000000013009	Type 2 diabetes mellitus	900000000000448009
200000013	20240101	1	900000000000207008	56265001	en	900000000000003001	Heart disease (disorder)	900000000000448009
200000014	20240101	1	900000000000207008	56265001	en	900000000000013009	Heart disease	900000000000448009
200000015	20240101	1	900000000000207008	22298006	en	900000000000003001	Myocardial infarction (disorder)	900000000000448009
200000016	20240101	1	900000000000207008	22298006	en	900000000000013009	Myocardial infarction	900000000000448009
200000017	20240101	1	900000000000207008	49436004	en	900000000000003001	Atrial fibrillation (disorder)	900000000000448009
200000018	20240101	1	900000000000207008	49436004	en	900000000000013009	Atrial fibrillation	900000000000448009
200000019	20240101	1	900000000000207008	50043002	en	900000000000003001	Disorder of respiratory system (disorder)	900000000000448009
200000020	20240101	1	900000000000207008	50043002	en	900000000000013009	Disorder of respiratory system	900000000000448009
200000021	20240101	1	900000000000207008	195967001	en	900000000000003001	Asthma (disorder)	900000000000448009
200000022	20240101	1	900000000000207008	195967001	en	900000000000013009	Asthma	900000000000448009
200000023	20240101	1	900000000000207008	233604007	en	900000000000003001	Pneumonia (disorder)	900000000000448009
200000024	20240101	1	900000000000207008	233604007	en	900000000000013009	Pneumonia	900000000000448009
200000025	20240101	1	900000000000207008	235856003	en	900000000000003001	Disorder of liver (disorder)	900000000000448009
200000026	20240101	1	900000000000207008	235856003	en	900000000000013009	Disorder of liver	900000000000448009
200000027	20240101	1	900000000000207008	197321007	en	900000000000003001	Steatosis of liver (disorder)	900000000000448009
200000028	20240101	1	900000000000207008	197321007	en	900000000000013009	Steatosis of liver	900000000000448009
200000029	20240101	1	900000000000207008	128302006	en	900000000000003001	Chronic hepatitis C (disorder)	900000000000448009
200000030	20240101	1	900000000000207008	128302006	en	900000000000013009	Chronic hepatitis C	900000000000448009
200000031	20240101	1	900000000000207008	418799008	en	900000000000003001	Finding of symptom (finding)	900000000000448009
200000032	20240101	1	900000000000207008	418799008	en	900000000000013009	Finding of symptom	900000000000448009
200000033	20240101	1	900000000000207008	25064002	en	900000000000003001	Headache (finding)	900000000000448009
200000034	20240101	1	900000000000207008	25064002	en	900000000000013009	Headache	900000000000448009
200000035	20240101	1	900000000000207008	29857009	en	900000000000003001	Chest pain (finding)	900000000000448009
200000036	20240101	1	900000000000207008	29857009	en	900000000000013009	Chest pain	900000000000448009
200000037	20240101	1	900000000000207008	267036007	en	900000000000003001	Dyspnea (finding)	900000000000448009
200000038	20240101	1	900000000000207008	267036007	en	900000000000013009	Dyspnea	900000000000448009
200000039	20240101	1	900000000000207008	71388002	en	900000000000003001	Procedure (procedure)	900000000000448009
200000040	20240101	1	900000000000207008	71388002	en	900000000000013009	Procedure	900000000000448009
200000041	20240101	1	900000000000207008	387713003	en	900000000000003001	Surgical procedure (procedure)	900000000000448009
200000042	20240101	1	900000000000207008	387713003	en	900000000000013009	Surgical procedure	900000000000448009
200000043	20240101	1	900000000000207008	232717009	en	900000000000003001	Coronary artery bypass grafting (procedure)	900000000000448009
200000044	20240101	1	900000000000207008	232717009	en	900000000000013009	Coronary artery bypass grafting	900000000000448009
200000045	20240101	1	900000000000207008	80146002	en	900000000000003001	Appendectomy (procedure)	900000000000448009
200000046	20240101	1	900000000000207008	80146002	en	900000000000013009	Appendectomy	900000000000448009
200000047	20240101	1	900000000000207008	174041007	en	900000000000003001	Liver transplant (procedure)	900000000000448009
200000048	20240101	1	900000000000207008	174041007	en	900000000000013009	Liver transplant	900000000000448009
200000049	20240101	1	900000000000207008	103693007	en	900000000000003001	Diagnostic procedure (procedure)	900000000000448009
200000050	20240101	1	900000000000207008	103693007	en	900000000000013009	Diagnostic procedure	900000000000448009
200000051	20240101	1	900000000000207008	252416005	en	900000000000003001	Histopathology test (procedure)	900000000000448009
200000052	20240101	1	900000000000207008	252416005	en	900000000000013009	Histopathology test	900000000000448009
200000053	20240101	1	900000000000207008	386053000	en	900000000000003001	Medical evaluation procedure (procedure)	900000000000448009
200000054	20240101	1	900000000000207008	386053000	en	900000000000013009	Medical evaluation procedure	900000000000448009
200000055	20240101	1	900000000000207008	123037004	en	900000000000003001	Body structure (body structure)	900000000000448009
200000056	20240101	1	900000000000207008	123037004	en	900000000000013009	Body structure	900000000000448009
200000057	20240101	1	900000000000207008	39607008	en	900000000000003001	Lung structure (body structure)	900000000000448009
200000058	20240101	1	900000000000207008	39607008	en	900000000000013009	Lung structure	900000000000448009
200000059	20240101	1	900000000000207008	80891009	en	900000000000003001	Heart structure (body structure)	900000000000448009
200000060	20240101	1	900000000000207008	80891009	en	900000000000013009	Heart structure	900000000000448009
200000061	20240101	1	900000000000207008	10200004	en	900000000000003001	Liver structure (body structure)	900000000000448009
200000062	20240101	1	900000000000207008	10200004	en	900000000000013009	Liver structure	900000000000448009
200000063	20240101	1	900000000000207008	66019005	en	900000000000003001	Limb structure (body structure)	900000000000448009
200000064	20240101	1	900000000000207008	66019005	en	900000000000013009	Limb structure	900000000000448009
200000065	20240101	1	900000000000207008	53120007	en	900000000000003001	Upper limb structure (body structure)	900000000000448009
200000066	20240101	1	900000000000207008	53120007	en	900000000000013009	Upper limb structure	900000000000448009
200000067	20240101	1	900000000000207008	61685007	en	900000000000003001	Lower limb structure (body structure)	900000000000448009
200000068	20240101	1	900000000000207008	61685007	en	900000000000013009	Lower limb structure	900000000000448009
200000069	20240101	1	900000000000207008	69536005	en	900000000000003001	Head structure (body structure)	900000000000448009
200000070	20240101	1	900000000000207008	69536005	en	900000000000013009	Head structure	900000000000448009
200000071	20240101	1	900000000000207008	49755003	en	900000000000003001	Morphologically abnormal structure (morphologic abnormality)	900000000000448009
200000072	20240101	1	900000000000207008	49755003	en	900000000000013009	Morphologically abnormal structure	900000000000448009
200000073	20240101	1	900000000000207008	55641003	en	900000000000003001	Infarct (morphologic abnormality)	900000000000448009
200000074	20240101	1	900000000000207008	55641003	en	900000000000013009	Infarct	900000000000448009
200000075	20240101	1	900000000000207008	56208002	en	900000000000003001	Inflammation (morphologic abnormality)	900000000000448009
200000076	20240101	1	900000000000207008	56208002	en	900000000000013009	Inflammation	900000000000448009
200000077	20240101	1	900000000000207008	76197007	en	900000000000003001	Neoplasm (morphologic abnormality)	900000000000448009
200000078	20240101	1	900000000000207008	76197007	en	900000000000013009	Neoplasm	900000000000448009
200000079	20240101	1	900000000000207008	105590001	en	900000000000003001	Substance (substance)	900000000000448009
200000080	20240101	1	900000000000207008	105590001	en	900000000000013009	Substance	900000000000448009
200000081	20240101	1	900000000000207008	387207008	en	900000000000003001	Ibuprofen (substance)	900000000000448009
200000082	20240101	1	900000000000207008	387207008	en	900000000000013009	Ibuprofen	900000000000448009
200000083	20240101	1	900000000000207008	372756006	en	900000000000003001	Warfarin (substance)	900000000000448009
200000084	20240101	1	900000000000207008	372756006	en	900000000000013009	Warfarin	900000000000448009
200000085	20240101	1	900000000000207008	387517004	en	900000000000003001	Paracetamol (substance)	900000000000448009
200000086	20240101	1	900000000000207008	387517004	en	900000000000013009	Paracetamol	900000000000448009
200000087	20240101	1	900000000000207008	362981000	en	900000000000003001	Qualifier value (qualifier value)	900000000000448009
200000088	20240101	1	900000000000207008	362981000	en	900000000000013009	Qualifier value	900000000000448009
200000089	20240101	1	900000000000207008	24028007	en	900000000000003001	Right (qualifier value)	900000000000448009
200000090	20240101	1	900000000000207008	24028007	en	900000000000013009	Right	900000000000448009
200000091	20240101	1	900000000000207008	7771000	en	900000000000003001	Left (qualifier value)	900000000000448009
200000092	20240101	1	900000000000207008	7771000	en	900000000000013009	Left	900000000000448009
200000093	20240101	1	900000000000207008	410662002	en	900000000000003001	Concept model attribute (attribute)	900000000000448009
200000094	20240101	1	900000000000207008	410662002	en	900000000000013009	Concept model attribute	900000000000448009
200000095	20240101	1	900000000000207008	363698007	en	900000000000003001	Finding site (attribute)	900000000000448009
200000096	20240101	1	900000000000207008	363698007	en	900000000000013009	Finding site	900000000000448009
200000097	20240101	1	900000000000207008	116676008	en	900000000000003001	Associated morphology (attribute)	900000000000448009
200000098	20240101	1	900000000000207008	116676008	en	900000000000013009	Associated morphology	900000000000448009
200000099	20240101	1	900000000000207008	246075003	en	900000000000003001	Causative agent (attribute)	900000000000448009
200000100	20240101	1	900000000000207008	246075003	en	900000000000013009	Causative agent	900000000000448009
200000101	20240101	1	900000000000207008	363704007	en	900000000000003001	Procedure site - direct (attribute)	900000000000448009
200000102	20240101	1	900000000000207008	363704007	en	900000000000013009	Procedure site - direct	900000000000448009
200000103	20240101	1	900000000000207008	260686004	en	900000000000003001	Method (attribute)	900000000000448009
200000104	20240101	1	900000000000207008	260686004	en	900000000000013009	Method	900000000000448009
200000105	20240101	1	900000000000207008	116680003	en	900000000000003001	Is a (attribute)	900000000000448009
200000106	20240101	1	900000000000207008	116680003	en	900000000000013009	Is a	900000000000448009
200000107	20240101	1	900000000000207008	99900009	en	900000000000003001	Cardiology reference set (foundation metadata concept)	900000000000448009
200000108	20240101	1	900000000000207008	99900009	en	900000000000013009	Cardiology reference set	900000000000448009
200000109	20240101	1	900000000000207008	129264002	en	900000000000003001	Action (qualifier value)	900000000000448009
200000110	20240101	1	900000000000207008	129264002	en	900000000000013009	Action	900000000000448009
200000111	20240101	1	900000000000207008	129284003	en	900000000000003001	Surgical action (qualifier value)	900000000000448009
200000112	20240101	1	900000000000207008	129284003	en	900000000000013009	Surgical action	900000000000448009
200000113	20240101	0	900000000000207008	99910000	en	900000000000003001	Deprecated respiratory condition (disorder)	900000000000448009
200000114	20240101	0	900000000000207008	99910000	en	900000000000013009	Deprecated respiratory condition	900000000000448009
200000115	20240101	1	900000000000207008	88810001	en	900000000000003001	Corrupted diabetes variant (disorder)	900000000000448009
200000116	20240101	1	900000000000207008	88810001	en	900000000000013009	Corrupted diabetes variant	900000000000448009
200000117	20240101	1	900000000000207008	88820008	en	900000000000003001	Corrupted respiratory condition (disorder)	900000000000448009
200000118	20240101	1	900000000000207008	88820008	en	900000000000013009	Corrupted respiratory condition	900000000000448009
200000119	20240101	1	900000000000207008	88830009	en	900000000000003001	Corrupted body region (body structure)	900000000000448009
200000120	20240101	1	900000000000207008	88830009	en	900000000000013009	Corrupted body region	900000000000448009
