# TRACKING DATA - MISSION SCENARIO DELTA-7
# Station Network: Deep Space Network (subset)
# Reference Epoch: 2024-01-15T00:00:00.000 UTC
# Coordinate Frame: EME2000 (ECI)
# Format: EPOCH_UTC | STATION_ID | RANGE_KM | AZ_DEG | EL_DEG | QUALITY | RESIDUAL_KM
# Quality codes: A=accepted, R=rejected (outlier)
# Pipe-delimited, comment lines begin with #
#
2024-01-15T00:05:12.000|GSN01|7245.123|45.678|32.100|A|0.012
2024-01-15T00:10:35.000|GSN01|7198.456|47.234|35.678|A|0.008
2024-01-15T00:15:48.000|GSN01|7156.789|49.012|38.456|A|0.015
2024-01-15T00:20:00.000|GSN01|9999.999|89.012|1.234|R|2.456
2024-01-15T00:30:00.000|GSN02|8234.567|122.345|25.789|A|0.023
2024-01-15T00:35:00.000|GSN02|8012.345|125.678|28.123|A|0.019
2024-01-15T00:40:00.000|GSN02|7845.678|128.901|30.456|A|0.011
2024-01-15T01:00:00.000|GSN03|7567.890|210.123|22.345|A|0.031
2024-01-15T01:05:00.000|GSN03|7423.456|213.456|25.678|A|0.027
2024-01-15T01:10:00.000|GSN03|7289.012|216.789|28.901|A|0.014
2024-01-15T01:30:00.000|GSN03|3456.789|315.678|85.456|R|5.123
2024-01-15T02:00:00.000|GSN01|7345.678|55.234|30.567|A|0.009
2024-01-15T02:05:00.000|GSN01|7267.890|57.567|33.890|A|0.016
2024-01-15T02:30:00.000|GSN02|12345.678|0.001|0.002|R|8.901
2024-01-15T03:00:00.000|GSN02|8123.456|130.234|27.567|A|0.022
